tc_id,schema,time_taken
TC225.sh,adler32/adler32_variant.ssse3/34,0.007242441177368164
TC226.sh,adler32/adler32_variant.ssse3/35,0.0071756839752197266
TC227.sh,adler32/adler32_variant.ssse3/36,0.007158756256103516
TC228.sh,adler32/adler32_variant.ssse3/37,0.007559776306152344
TC229.sh,adler32/adler32_variant.ssse3/38,0.007094621658325195
TC230.sh,adler32/adler32_variant.ssse3/39,0.007031679153442383
TC231.sh,adler32/adler32_variant.ssse3/40,0.007071733474731445
TC232.sh,adler32/adler32_variant.ssse3/41,0.0070247650146484375
TC233.sh,adler32/adler32_variant.ssse3/42,0.00722503662109375
TC234.sh,adler32/adler32_variant.ssse3/43,0.007218837738037109
TC235.sh,adler32/adler32_variant.ssse3/44,0.0072290897369384766
TC236.sh,adler32/adler32_variant.ssse3/45,0.007126808166503906
TC237.sh,adler32/adler32_variant.ssse3/46,0.007246255874633789
TC238.sh,adler32/adler32_variant.ssse3/47,0.007169008255004883
TC239.sh,adler32/adler32_variant.ssse3/48,0.0071446895599365234
TC240.sh,adler32/adler32_variant.ssse3/49,0.007197380065917969
TC241.sh,adler32/adler32_variant.ssse3/50,0.007096052169799805
TC242.sh,adler32/adler32_variant.ssse3/51,0.007180690765380859
TC243.sh,adler32/adler32_variant.ssse3/52,0.007074594497680664
TC244.sh,adler32/adler32_variant.ssse3/53,0.007058382034301758
TC245.sh,adler32/adler32_variant.ssse3/54,0.007167816162109375
TC246.sh,adler32/adler32_variant.ssse3/55,0.00712895393371582
TC247.sh,adler32/adler32_variant.ssse3/56,0.00727081298828125
TC248.sh,adler32/adler32_variant.ssse3/57,0.007031917572021484
TC249.sh,adler32/adler32_variant.ssse3/58,0.0070421695709228516
TC250.sh,adler32/adler32_variant.ssse3/59,0.007022380828857422
TC251.sh,adler32/adler32_variant.ssse3/60,0.007034778594970703
TC252.sh,adler32/adler32_variant.ssse3/61,0.007054805755615234
TC253.sh,adler32/adler32_variant.ssse3/62,0.007227897644042969
TC254.sh,adler32/adler32_variant.ssse3/63,0.0070400238037109375
TC255.sh,adler32/adler32_variant.ssse3/64,0.0071103572845458984
TC256.sh,adler32/adler32_variant.ssse3/65,0.0070247650146484375
TC257.sh,adler32/adler32_variant.ssse3/66,0.0071239471435546875
TC258.sh,adler32/adler32_variant.ssse3/67,0.007089853286743164
TC259.sh,adler32/adler32_variant.ssse3/68,0.007015228271484375
TC260.sh,adler32/adler32_variant.ssse3/69,0.00698399543762207
TC261.sh,adler32/adler32_variant.ssse3/70,0.006961345672607422
TC262.sh,adler32/adler32_variant.ssse3/71,0.00699615478515625
TC263.sh,adler32/adler32_variant.ssse3/72,0.0069773197174072266
TC264.sh,adler32/adler32_variant.ssse3/73,0.007154941558837891
TC265.sh,adler32/adler32_variant.ssse3/74,0.007114410400390625
TC266.sh,adler32/adler32_variant.ssse3/75,0.007130622863769531
TC267.sh,adler32/adler32_variant.ssse3/76,0.007043600082397461
TC268.sh,adler32/adler32_variant.ssse3/77,0.007025241851806641
TC269.sh,adler32/adler32_variant.ssse3/78,0.00692439079284668
TC270.sh,adler32/adler32_variant.ssse3/79,0.006937503814697266
TC271.sh,adler32/adler32_variant.ssse3/80,0.007015705108642578
TC272.sh,adler32/adler32_variant.ssse3/81,0.007115602493286133
TC273.sh,adler32/adler32_variant.ssse3/82,0.006974935531616211
TC274.sh,adler32/adler32_variant.ssse3/83,0.007226467132568359
TC275.sh,adler32/adler32_variant.ssse3/84,0.0070645809173583984
TC276.sh,adler32/adler32_variant.ssse3/85,0.007105112075805664
TC277.sh,adler32/adler32_variant.ssse3/86,0.0070400238037109375
TC278.sh,adler32/adler32_variant.ssse3/87,0.0071299076080322266
TC279.sh,adler32/adler32_variant.ssse3/88,0.007048130035400391
TC280.sh,adler32/adler32_variant.ssse3/89,0.007127523422241211
TC281.sh,adler32/adler32_variant.ssse3/90,0.007013082504272461
TC282.sh,adler32/adler32_variant.ssse3/91,0.007135152816772461
TC283.sh,adler32/adler32_variant.ssse3/92,0.006990671157836914
TC284.sh,adler32/adler32_variant.ssse3/93,0.00717616081237793
TC285.sh,adler32/adler32_variant.ssse3/94,0.00714421272277832
TC286.sh,adler32/adler32_variant.ssse3/95,0.006979942321777344
TC287.sh,adler32/adler32_variant.ssse3/96,0.007123470306396484
TC288.sh,adler32/adler32_variant.ssse3/97,0.0069293975830078125
TC289.sh,adler32/adler32_variant.ssse3/98,0.006950855255126953
TC290.sh,adler32/adler32_variant.ssse3/99,0.006967782974243164
TC291.sh,adler32/adler32_variant.ssse3/100,0.007048845291137695
TC292.sh,adler32/adler32_variant.ssse3/101,0.007136106491088867
TC293.sh,adler32/adler32_variant.ssse3/102,0.007073402404785156
TC294.sh,adler32/adler32_variant.ssse3/103,0.007063150405883789
TC295.sh,adler32/adler32_variant.ssse3/104,0.006964445114135742
TC296.sh,adler32/adler32_variant.ssse3/105,0.0070476531982421875
TC297.sh,adler32/adler32_variant.ssse3/106,0.006865262985229492
TC298.sh,adler32/adler32_variant.ssse3/107,0.0068378448486328125
TC299.sh,adler32/adler32_variant.ssse3/108,0.0069806575775146484
TC300.sh,adler32/adler32_variant.ssse3/109,0.0074498653411865234
TC301.sh,adler32/adler32_variant.ssse3/110,0.007014274597167969
TC302.sh,adler32/adler32_variant.ssse3/111,0.0073964595794677734
TC303.sh,adler32/adler32_variant.ssse3/112,0.00700831413269043
TC304.sh,adler32/adler32_variant.ssse3/113,0.006868600845336914
TC305.sh,adler32/adler32_variant.ssse3/114,0.007186412811279297
TC306.sh,adler32/adler32_variant.ssse3/115,0.007142782211303711
TC307.sh,adler32/adler32_variant.ssse3/116,0.007071256637573242
TC308.sh,adler32/adler32_variant.ssse3/117,0.007249593734741211
TC309.sh,adler32/adler32_variant.ssse3/118,0.007014036178588867
TC310.sh,adler32/adler32_variant.ssse3/119,0.0071201324462890625
TC311.sh,adler32/adler32_variant.ssse3/120,0.007074594497680664
TC312.sh,adler32/adler32_variant.ssse3/121,0.006951808929443359
TC313.sh,adler32/adler32_variant.ssse3/122,0.007018327713012695
TC314.sh,adler32/adler32_variant.ssse3/123,0.007126331329345703
TC315.sh,adler32/adler32_variant.ssse3/124,0.006972312927246094
TC316.sh,adler32/adler32_variant.ssse3/125,0.00706171989440918
TC317.sh,adler32/adler32_variant.ssse3/126,0.007141590118408203
TC318.sh,adler32/adler32_variant.ssse3/127,0.007070779800415039
TC319.sh,adler32/adler32_variant.ssse3/128,0.0070111751556396484
TC320.sh,adler32/adler32_variant.ssse3/129,0.006874561309814453
TC321.sh,adler32/adler32_variant.ssse3/130,0.0069506168365478516
TC322.sh,adler32/adler32_variant.ssse3/131,0.0070307254791259766
TC323.sh,adler32/adler32_variant.ssse3/132,0.006980419158935547
TC324.sh,adler32/adler32_variant.ssse3/133,0.0069158077239990234
TC325.sh,adler32/adler32_variant.ssse3/134,0.0069675445556640625
TC326.sh,adler32/adler32_variant.ssse3/135,0.006853580474853516
TC327.sh,adler32/adler32_variant.ssse3/136,0.006962299346923828
TC328.sh,adler32/adler32_variant.ssse3/137,0.006984710693359375
TC329.sh,adler32/adler32_variant.ssse3/138,0.00717473030090332
TC330.sh,adler32/adler32_variant.ssse3/139,0.007082700729370117
TC331.sh,adler32/adler32_variant.ssse3/140,0.007068157196044922
TC332.sh,adler32/adler32_variant.ssse3/141,0.007111549377441406
TC333.sh,adler32/adler32_variant.avx2/0,0.006993532180786133
TC334.sh,adler32/adler32_variant.avx2/1,0.007086038589477539
TC335.sh,adler32/adler32_variant.avx2/2,0.007178068161010742
TC336.sh,adler32/adler32_variant.avx2/3,0.007149219512939453
TC337.sh,adler32/adler32_variant.avx2/4,0.007035255432128906
TC338.sh,adler32/adler32_variant.avx2/5,0.007115364074707031
TC339.sh,adler32/adler32_variant.avx2/6,0.007019519805908203
TC340.sh,adler32/adler32_variant.avx2/7,0.007131338119506836
TC341.sh,adler32/adler32_variant.avx2/8,0.007108211517333984
TC342.sh,adler32/adler32_variant.avx2/9,0.0070879459381103516
TC343.sh,adler32/adler32_variant.avx2/10,0.007152080535888672
TC344.sh,adler32/adler32_variant.avx2/11,0.007028341293334961
TC345.sh,adler32/adler32_variant.avx2/12,0.007090568542480469
TC346.sh,adler32/adler32_variant.avx2/13,0.007234096527099609
TC347.sh,adler32/adler32_variant.avx2/14,0.00710749626159668
TC348.sh,adler32/adler32_variant.avx2/15,0.007093667984008789
TC349.sh,adler32/adler32_variant.avx2/16,0.007067680358886719
TC350.sh,adler32/adler32_variant.avx2/17,0.007222652435302734
TC351.sh,adler32/adler32_variant.avx2/18,0.0069506168365478516
TC352.sh,adler32/adler32_variant.avx2/19,0.007142305374145508
TC353.sh,adler32/adler32_variant.avx2/20,0.0071103572845458984
TC354.sh,adler32/adler32_variant.avx2/21,0.0070340633392333984
TC355.sh,adler32/adler32_variant.avx2/22,0.006945371627807617
TC356.sh,adler32/adler32_variant.avx2/23,0.0069332122802734375
TC357.sh,adler32/adler32_variant.avx2/24,0.0070149898529052734
TC358.sh,adler32/adler32_variant.avx2/25,0.007798671722412109
TC359.sh,adler32/adler32_variant.avx2/26,0.007364988327026367
TC360.sh,adler32/adler32_variant.avx2/27,0.0070874691009521484
TC361.sh,adler32/adler32_variant.avx2/28,0.007188320159912109
TC362.sh,adler32/adler32_variant.avx2/29,0.007009983062744141
TC363.sh,adler32/adler32_variant.avx2/30,0.007130622863769531
TC364.sh,adler32/adler32_variant.avx2/31,0.007069826126098633
TC365.sh,adler32/adler32_variant.avx2/32,0.007262706756591797
TC366.sh,adler32/adler32_variant.avx2/33,0.006994724273681641
TC367.sh,adler32/adler32_variant.avx2/34,0.006991147994995117
TC368.sh,adler32/adler32_variant.avx2/35,0.006869077682495117
TC369.sh,adler32/adler32_variant.avx2/36,0.007031440734863281
TC370.sh,adler32/adler32_variant.avx2/37,0.007132768630981445
TC371.sh,adler32/adler32_variant.avx2/38,0.007168769836425781
TC372.sh,adler32/adler32_variant.avx2/39,0.007066488265991211
TC373.sh,adler32/adler32_variant.avx2/40,0.007050514221191406
TC374.sh,adler32/adler32_variant.avx2/41,0.0071027278900146484
TC375.sh,adler32/adler32_variant.avx2/42,0.006936550140380859
TC376.sh,adler32/adler32_variant.avx2/43,0.007590293884277344
TC377.sh,adler32/adler32_variant.avx2/44,0.007227897644042969
TC378.sh,adler32/adler32_variant.avx2/45,0.00716400146484375
TC379.sh,adler32/adler32_variant.avx2/46,0.007109403610229492
TC380.sh,adler32/adler32_variant.avx2/47,0.007042884826660156
TC381.sh,adler32/adler32_variant.avx2/48,0.007040977478027344
TC382.sh,adler32/adler32_variant.avx2/49,0.00700688362121582
TC383.sh,adler32/adler32_variant.avx2/50,0.006990194320678711
TC384.sh,adler32/adler32_variant.avx2/51,0.006813764572143555
TC385.sh,adler32/adler32_variant.avx2/52,0.0071294307708740234
TC386.sh,adler32/adler32_variant.avx2/53,0.007268190383911133
TC387.sh,adler32/adler32_variant.avx2/54,0.008007287979125977
TC388.sh,adler32/adler32_variant.avx2/55,0.00721287727355957
TC389.sh,adler32/adler32_variant.avx2/56,0.007239103317260742
TC390.sh,adler32/adler32_variant.avx2/57,0.007169485092163086
TC391.sh,adler32/adler32_variant.avx2/58,0.006960391998291016
TC392.sh,adler32/adler32_variant.avx2/59,0.007358074188232422
TC393.sh,adler32/adler32_variant.avx2/60,0.007123470306396484
TC394.sh,adler32/adler32_variant.avx2/61,0.0071222782135009766
TC395.sh,adler32/adler32_variant.avx2/62,0.0071222782135009766
TC396.sh,adler32/adler32_variant.avx2/63,0.007127285003662109
TC397.sh,adler32/adler32_variant.avx2/64,0.007047414779663086
