buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
gemm_layer.MUT58.cpp,1,2850,0,0,18,2869,1077,12401,4261,12541,14008,0.8952741290691034,0.8907053112507138,0,0,108,108,1077,0,0,1050,63
softmax_layer.MUT50.cpp,6,2867,0,0,0,2873,2645,12490,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,244,244,2645,0,0,1050,63
onnx_importer.MUT641.cpp,3,2870,0,0,0,2873,1043,12537,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,109,109,1043,0,0,1050,63
convolution_layer.MUT23.cpp,4,2866,0,0,3,2873,1893,12531,2605,12542,14008,0.8953455168475157,0.8949171901770417,0,0,171,171,1893,0,0,1050,63
einsum_layer.MUT330.cpp,7,2866,0,0,0,2873,1300,12408,0,12465,14008,0.8898486579097659,0.8898486579097659,0,0,124,124,1300,0,0,1050,63
nary_eltwise_layers.MUT57.cpp,7,2809,0,0,57,2873,1211,12180,5596,12541,14008,0.8952741290691034,0.8807824100513992,0,0,119,119,1211,0,0,1050,63
einsum_layer.MUT40.cpp,2,2871,0,0,0,2873,1243,12471,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,116,116,1243,0,0,1050,63
arg_layer.MUT23.cpp,2,2871,0,0,0,2873,1645,12482,0,12536,14008,0.8949171901770417,0.8949171901770417,0,0,162,162,1645,0,0,1050,63
tf_graph_simplifier.MUT386.cpp,20,2723,0,0,130,2873,2862,10399,6883,12493,14008,0.8918475157053113,0.8295259851513421,0,0,243,243,2862,0,0,1050,63
onnx_graph_simplifier.MUT544.cpp,2,2310,0,0,561,2873,1420,7870,9531,12528,14008,0.894346087949743,0.6286407766990292,0,0,138,138,1420,0,0,1050,63
pooling_layer.MUT215.cpp,1,2870,0,0,2,2873,649,12521,2594,12542,14008,0.8953455168475157,0.8949171901770417,0,0,57,57,649,0,0,1050,63
tf_importer.MUT77.cpp,23,2847,0,0,3,2873,3330,12432,1743,12494,14008,0.8919189034837236,0.8906339234723015,0,0,283,283,3330,0,0,1050,63
recurrent_layers.MUT159.cpp,12,2861,0,0,0,2873,1976,12481,0,12510,14008,0.8930611079383209,0.8930611079383209,0,0,168,168,1976,0,0,1050,63
onnx_importer.MUT1637.cpp,1,2872,0,0,0,2873,1242,12526,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,130,130,1242,0,0,1050,63
nary_eltwise_layers.MUT234.cpp,1,2872,0,0,0,2873,1245,12508,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,124,124,1245,0,0,1050,63
flow_warp_layer.MUT43.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,29,29,353,0,0,1050,63
onnx_importer.MUT461.cpp,15,2858,0,0,0,2873,1576,12322,0,12401,14008,0.8852798400913764,0.8852798400913764,0,0,140,140,1576,0,0,1050,63
pooling_layer.MUT298.cpp,18,2746,0,0,109,2873,3240,12494,482,12542,14008,0.8953455168475157,0.895202741290691,0,0,295,295,3240,0,0,1050,63
einsum_layer.MUT282.cpp,2,2871,0,0,0,2873,1111,12471,0,12498,14008,0.892204454597373,0.892204454597373,0,0,104,104,1111,0,0,1050,63
torch_importer.MUT195.cpp,1,2870,0,0,2,2873,527,12521,503,12542,14008,0.8953455168475157,0.8953455168475157,0,0,58,58,527,0,0,1050,63
