buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_funcs_executed_by_failing_TCs,#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
pooling_layer.MUT82.cpp,306,2518,0,0,49,2873,4345,11761,5307,12466,14008,0.8899200456881782,0.8798543689320388,395,0,0,395,4345,0,0,1050,63
resize_layer.MUT108.cpp,6,2862,0,0,2,2870,2825,12396,2816,12528,14008,0.894346087949743,0.893703597944032,272,0,0,272,2825,0,0,1050,63
permute_layer.MUT10.cpp,78,2794,0,0,1,2873,5349,11643,1002,12132,14008,0.866076527698458,0.866076527698458,471,0,0,471,5349,0,0,1050,63
pooling_layer.MUT309.cpp,44,2829,0,0,0,2873,5484,12421,0,12542,14008,0.8953455168475157,0.8953455168475157,478,0,0,478,5484,0,0,1050,63
elementwise_layers.MUT276.cpp,2,2871,0,0,0,2873,1176,12539,0,12542,14008,0.8953455168475157,0.8953455168475157,124,0,0,124,1176,0,0,1050,63
prior_box_layer.MUT123.cpp,3,2870,0,0,0,2873,709,12260,0,12542,14008,0.8953455168475157,0.8953455168475157,59,0,0,59,709,0,0,1050,63
convolution_layer.MUT119.cpp,2,2868,0,0,3,2873,2211,12516,2554,12542,14008,0.8953455168475157,0.8953455168475157,194,0,0,194,2211,0,0,1050,63
flow_warp_layer.MUT31.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,30,0,0,30,353,0,0,1050,63
onnx_importer.MUT1328.cpp,13,2860,0,0,0,2873,796,12118,0,12125,14008,0.8655768132495717,0.8655768132495717,85,0,0,85,796,0,0,1050,63
pooling_layer.MUT306.cpp,43,2829,0,0,1,2873,5478,12421,1310,12542,14008,0.8953455168475157,0.8953455168475157,478,0,0,478,5478,0,0,1050,63
