buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
color_lab.MUT1116.cpp,1,1452,0,0,0,1453,284,9982,0,10036,11426,0.8783476282163487,0.8783476282163487,0,0,20,20,284,0,0,650,38
grabcut.MUT37.cpp,1,1452,0,0,1,1454,257,9956,248,10217,11426,0.8941886924558026,0.8938386136880798,0,0,19,19,257,0,0,650,38
contours.MUT256.cpp,4,1450,0,0,0,1454,586,10195,0,10202,11412,0.8939712583245706,0.8939712583245706,0,0,38,38,586,0,0,650,38
resize.MUT942.cpp,1,1452,0,0,0,1453,562,9776,0,9966,11426,0.8722212497812007,0.8722212497812007,0,0,44,44,562,0,0,650,38
imgwarp.sse4_1.MUT159.cpp,1,1451,0,0,2,1454,61,10156,92,10217,11427,0.8941104401855255,0.8941104401855255,0,0,5,5,61,0,0,650,38
color_lab.MUT1511.cpp,2,1451,0,0,1,1454,606,9997,482,10189,11426,0.8917381410817434,0.8917381410817434,0,0,36,36,606,0,0,650,38
histogram.MUT900.cpp,2,1451,0,0,1,1454,216,9656,639,10118,11426,0.8855242429546648,0.8539296341676877,0,0,10,10,216,0,0,650,38
samplers.MUT172.cpp,1,1453,0,0,0,1454,23,10138,0,10145,11426,0.8878872746367933,0.8878872746367933,0,0,2,2,23,0,0,650,38
color_lab.MUT738.cpp,2,1452,0,0,0,1454,641,9982,0,10204,11426,0.8930509364607037,0.8930509364607037,0,0,33,33,641,0,0,650,38
phasecorr.MUT286.cpp,1,1451,0,0,2,1454,22,10048,177,10199,11426,0.8926133380010502,0.8813232977419919,0,0,1,1,22,0,0,650,38
deriv.MUT72.cpp,139,1313,0,0,2,1454,1125,9651,871,10192,11426,0.8920007001575354,0.89130054262209,0,0,89,89,1125,0,0,650,38
color_lab.MUT339.cpp,1,1453,0,0,0,1454,88,10019,0,10095,11426,0.8835112900402591,0.8835112900402591,0,0,10,10,88,0,0,650,38
emd_new.MUT91.cpp,5,1448,0,0,1,1454,347,9865,79,10216,11426,0.8941011727638719,0.8937510939961492,0,0,19,19,347,0,0,650,38
